doc_id,label,citations
1578,Saleh T. (2024),32
3631,Sun W. (2019),6
3641,Kumar A. (2018),0
2617,Contreras D. (2022),35
2620,Karakas G. (2023),27
1598,Di Bacco M. (2024),3
1605,Liang R. (2024),18
3654,Hao H. (2020),6
1607,Singh R. (2024),18
3655,Khan T.A. (2018),13
2633,Sreelakshmi S. (2022),62
589,Waykar Y.A. (2025),0
590,Salam R. (2025),8
3663,Khan T.A. (2018),3
3666,Akshya J. (2019),51
1619,Selvanayaki S. (2024),2
595,Dey S. (2025),6
2650,Krichen M. (2023),17
3676,Yi Y. (2020),140
605,Kopiika N. (2025),39
2654,Todorovic L. (2022),15
1636,Singh C.R. (2024),33
3684,Dasgupta A. (2018),92
2663,Arathi E. (2023),3
616,Abdalzaher M.S. (2025),1
1639,Huangfu W. (2024),13
1642,Ochiai K. (2024),2
3690,Tian H. (2019),67
1644,Xu Z. (2024),7
3693,Alam F. (2018),39
2664,Safavi F. (2023),39
3688,Sun W. (2018),39
2669,Karimiziarani M. (2023),30
3694,Wang Y. (2020),242
2671,Chandra N. (2023),1
2676,Hasanuzzaman M. (2022),50
2678,Seydi S.T. (2023),5
1655,Sathya D. (2024),4
1656,Amitrano D. (2024),166
3704,Bonafilia D. (2020),231
636,Majumdar S. (2025),0
2685,Linardos V. (2022),270
1660,Van L.N. (2024),26
1674,Satishkumar D. (2024),0
2699,Youssef A.M. (2022),33
2701,Shakeel M. (2022),14
1678,Xi L. (2024),25
1680,Bhatta S. (2024),17
3730,Ahmed K. (2017),4
1683,Ma Y. (2024),378
3736,Khan T.A. (2017),16
1689,Chandra R. (2024),9
3745,Lenjani A. (2020),49
677,Qu Y. (2025),10
2726,Samuel S. (2023),2
679,Qasaymeh M.A.S. (2025),0
3751,Zhang D. (2020),32
2729,Dong A. (2023),37
3754,Xu S. (2019),2
3757,Alam F. (2020),98
691,Naibi S. (2025),2
694,Singh V. (2025),1
700,Elbohy S.E. (2025),1
1725,Boroujeni S.P.H. (2024),146
3772,Nguyen V.-T. (2019),52
2751,Eslaminezhad S.A. (2022),55
2752,Rezk M. (2023),20
704,Kudaibergenov M. (2025),17
709,Saquella S. (2025),0
1736,Pandey S. (2024),1
2762,Alam F. (2023),1
1739,Zhang A. (2024),3
2766,Pedzisai E. (2023),8
1743,Fang C. (2024),42
2770,Hu Y. (2023),163
2771,Khajwal A.B. (2023),59
724,Gomroki M. (2025),15
725,Braik A.M. (2025),9
3796,Akshya J. (2020),12
1751,Chandra N. (2024),13
2778,Sangeetha M. (2023),3
732,Shaik R.U. (2025),6
1757,Wu L. (2024),21
738,Braik A.M. (2025),0
3811,Pan X. (2020),120
2786,Pourghasemi H.R. (2023),53
2789,Abid S.K. (2023),20
2787,Zhang Y. (2023),18
2797,Alam F. (2023),65
3823,Graf D. (2018),16
3825,Nemni E. (2020),176
1779,Qiao W. (2024),20
3827,Amadio M. (2019),101
2805,Liu Z. (2023),12
1782,Yang Y. (2024),4
3832,Chen W. (2020),457
3837,Wu Y. (2020),359
766,Wang Z. (2025),3
3841,Khan T.A. (2020),27
773,Quero C.O. (2025),49
1797,Wei R. (2024),14
774,Amiran A. (2025),1
2824,JayaLakshmi G. (2023),14
3849,Kyrkou C. (2019),149
2828,Nasrin T. (2023),1
3853,Young-Mclear K. (2019),0
2831,Abdalzaher M.S. (2022),107
1809,Wu L. (2024),27
3857,Zhang D.Y. (2019),78
2835,Wang C. (2022),16
3862,Kumar A. (2016),14
791,Ahmad I. (2025),40
794,Tan L. (2025),0
2843,Abdel-Mooty M.N. (2022),23
1824,Ahmed I. (2024),30
2849,Wang J. (2023),7
3874,Hassan M.K.A. (2016),3
1825,Astarita V. (2024),48
2855,Li P. (2023),25
1835,Deborah N. (2024),2
2862,Wang H. (2023),15
815,Adhikari S. (2025),3
1839,Cheng C.-S. (2024),21
2867,Zhou S. (2022),17
1844,Revathy J.S. (2024),2
3892,Graf D. (2020),1
3894,Wieland M. (2019),102
3897,Kumar A. (2018),0
2875,Lam N.S.N. (2023),41
828,Shirani K. (2025),0
2879,Shafapourtehrany M. (2022),47
3903,Ahmed K. (2017),12
1855,Albanwan H. (2024),28
3905,Bragagnolo L. (2020),107
2885,Ong A.K.S. (2023),13
3911,Tien Bui D. (2016),304
1874,Gandhimathi X. (2024),0
1875,Sathianarayanan M. (2024),38
3927,Jena R. (2020),137
856,Wahid J.A. (2025),13
3931,Arinta R.R. (2019),59
2909,Zhai W. (2022),18
869,Feng Z.-Y. (2025),0
2921,Yang R. (2022),15
1898,Al Shafian S. (2024),74
1899,Jahanbani M. (2024),43
876,Raut S. (2025),10
877,Savitha G. (2025),4
2926,Wang C. (2023),18
3952,Ochoa K.S. (2020),0
3953,Islam K.A. (2020),57
2930,Gao J. (2022),8
1908,Luo H. (2024),6
2933,Liao Y. (2023),27
886,Chandra N. (2025),3
2934,Li W. (2022),61
2938,Wang X. (2022),85
1916,Md.Sharafat C. (2024),77
1917,Yan Z. (2024),67
3975,Pouyanfar S. (2019),43
1928,Selvakumar P. (2024),8
3984,Shahabi H. (2020),331
3985,Aqib M. (2018),56
2966,Yuan F. (2022),47
3990,Hassan M.K.A. (2016),5
1947,Hou H. (2024),20
2972,Gumasing M.J.J. (2022),28
4000,Andreeva-Mori A. (2015),19
1952,Braik A.M. (2024),54
2979,Abdalzaher M.S. (2023),85
2980,Ochiai K. (2022),4
2983,Ahmed B. (2022),78
1959,Pandey P.C. (2024),1
4010,Jebur M.N. (2015),90
1962,Gu J. (2024),33
1965,Wang L. (2024),14
1971,Satishkumar D. (2024),4
2995,Youssef A.M. (2022),85
1973,Scorzini A.R. (2024),9
1974,Hong H. (2024),38
3001,Alam F. (2020),67
1978,Cheng G. (2024),28
1977,Subburaj J. (2024),3
4030,Youssef A.M. (2015),159
4031,Song X. (2015),32
3009,Abdel-Mooty M.N. (2021),45
3012,Zhai W. (2020),60
4037,Andreeva-Mori A. (2015),3
4039,Young-McLear K. (2015),3
968,Sun K. (2025),1
1992,Zhang Y. (2024),13
969,Prakash N. (2025),0
972,Addison L.M. (2025),0
1996,Xu L. (2024),27
1997,Nagarani N. (2024),2
3022,Yuan F. (2022),22
2001,Rahnemoonfar M. (2023),100
3028,Dong J. (2020),20
980,Saquella S. (2025),0
3029,Durante M.G. (2021),46
2008,Abdalzaher M.S. (2023),71
3036,Rahnemoonfar M. (2021),305
2016,Razavi-Termeh S.V. (2023),68
2017,Vignesh M. (2024),2
2020,Zhang H. (2023),18
3045,Munawar H.S. (2022),24
3050,He Y. (2022),27
3051,Dong J. (2021),174
3053,Fang Z. (2021),280
3054,Maqsoom A. (2022),11
1008,Mu G. (2025),12
3059,Feldmeyer D. (2020),60
3060,Abdi G. (2021),28
2035,Reis H.C. (2023),81
1015,Yu B. (2025),2
3070,Towfiqul Islam A.R.M. (2021),468
