cited_id,citing_id
3832,2
3294,2
3307,7
3485,7
811,8
419,9
1743,9
3948,9
3036,9
1978,10
2150,10
2719,10
605,11
3512,11
3673,14
3913,16
2443,18
2001,18
3036,18
3871,19
2709,19
2685,19
1549,19
3207,19
3038,19
2692,23
1849,23
3825,23
3832,24
2714,27
3379,28
2535,28
3775,28
3086,30
3359,30
2165,30
3210,30
3444,30
3290,30
3036,30
3220,30
1663,30
2424,31
2486,31
1524,32
2928,32
3711,32
3137,32
3991,32
1737,32
3678,32
3287,32
3418,32
2757,32
3427,32
2991,32
3042,32
3155,32
1668,34
2844,36
3126,36
3485,39
2986,39
3307,39
1524,40
2928,40
3420,40
2952,40
1806,40
1887,40
3968,40
3646,40
3137,40
3960,40
2932,40
1947,40
3088,40
3902,40
683,40
3400,40
3678,40
2757,40
2946,40
1535,40
3190,40
3662,40
2912,40
2744,42
2215,42
1947,42
1917,42
3790,44
3948,44
1594,45
3967,48
3784,48
2360,50
2593,50
2719,50
3676,50
2873,50
2656,51
2843,52
2583,52
3455,52
2384,53
1853,54
2958,54
2298,54
1522,56
3443,57
2981,60
3861,60
3704,62
1899,63
1853,63
171,64
1656,65
3000,65
3128,65
2445,70
3824,70
1535,70
1875,70
1910,70
3466,70
2950,71
3775,74
3429,74
3673,74
2808,74
3889,74
3485,76
3307,76
2789,76
2685,76
3038,76
3251,76
3429,76
2721,76
1656,77
3202,77
3130,77
1663,78
2150,80
3112,80
2323,82
1536,82
1950,82
2210,82
2558,82
2206,82
2486,82
1656,83
3704,83
3799,85
3953,85
2165,85
2520,85
3036,85
1578,85
3156,85
2849,85
3053,86
1690,87
3685,90
1617,91
3889,92
3695,92
1578,92
3603,92
3499,92
1965,92
3845,92
3673,94
3602,96
32,96
2007,97
3913,98
3136,98
3089,98
3179,98
3968,98
3076,98
3724,98
3209,98
3348,100
1668,100
2941,100
3921,103
2494,104
342,104
3925,105
3400,105
3455,106
1431,106
2717,108
1615,110
1201,112
2494,113
1455,113
3238,114
1092,115
2847,117
2744,117
3594,117
2558,117
3837,117
3468,118
3911,118
2393,121
3584,123
1522,123
2879,126
3673,126
1973,126
3290,130
3454,132
3335,132
3243,132
2215,132
3894,132
2176,134
3328,135
1853,135
3117,136
2364,137
1656,137
3704,137
3149,137
2692,137
3832,138
152,138
3984,138
3911,138
2926,138
3837,138
1799,139
2199,139
1950,139
1743,139
2378,148
2305,149
3278,149
3837,149
4030,149
3871,150
3468,154
1816,154
2507,156
1985,156
3053,158
3615,159
3610,160
2241,160
3915,160
3685,161
2685,162
2229,162
2199,164
3174,164
2298,164
2305,166
2901,166
3235,166
2035,167
2855,168
3429,170
2605,170
2393,170
3610,172
2241,172
3004,173
3839,174
1952,174
3832,174
3685,174
3238,174
3831,174
3503,177
528,178
3429,178
3956,185
3889,185
3330,186
2537,186
342,186
1950,186
2384,186
1641,188
1647,188
1972,188
2514,189
