author_a,author_b,weight
Chen W.,Liu S.,1
Li X.,Zhang Y.,1
Li H.,Zhang Y.,1
Li H.,Li X.,1
Wu J.,Zhao Y.,1
Li H.,Zhao Y.,1
Liu M.,Zhang Y.,1
Liu J.,Wang J.,1
Li X.,Zhang S.,1
Wang H.,Yang Y.,1
Liu X.,Liu Y.,1
Zhang X.,Zhang Y.,1
Wang Z.,Zhou X.,1
Liu Y.,Zhou X.,1
Liu Y.,Zhang X.,1
Liu X.,Zhou X.,1
Liu X.,Zhang Y.,1
Li J.,Zhang X.,1
Wu Z.,Zhang S.,1
Li J.,Wang Z.,1
Li J.,Liu Y.,1
Chen Y.,Wang Y.,1
Xu J.,Zhang Y.,1
Xu J.,Zhang L.,1
Wang J.,Zhang L.,1
Zhang X.,Zhou X.,1
Liu S.,Wang L.,1
Li W.,Li Z.,1
Li W.,Wang X.,1
Liu X.,Zhang J.,1
Wang J.,Zhao Y.,1
Yang Y.,Zhao Y.,1
Liu Y.,Wang N.,1
Liu Y.,Xu J.,1
Wang N.,Xu J.,1
Liu J.,Liu S.,1
Liu J.,Wu Z.,1
Liu J.,Zhang S.,1
Liu S.,Wang H.,1
Liu S.,Zhang S.,1
Liu S.,Zhang Y.,1
Wang H.,Zhang S.,1
Li Z.,Wang H.,1
Chen J.,Wang H.,1
Liu M.,Wang Y.,1
Wang Y.,Zhang L.,1
"Wang, J","Zhang, Y",1
"Li, J","Zhang, Y",1
"Liu, J","Wang, Y",1
"Li, Y","Wang, J",1
"Li, Y","Xu, C",1
"Wang, J","Xu, C",1
Chen W.,Li S.,1
Chen W.,Wang X.,1
Chen W.,Zhang S.,1
Li S.,Zhang S.,1
Li Y.,Wang X.,1
Li Y.,Zhang S.,1
Wang L.,Wang Y.,1
Wu Z.,Zhang X.,1
Wang N.,Zhang H.,1
Liu X.,Zhang C.,1
Yang Y.,Zhang H.,1
Wu J.,Yang J.,1
Li Y.,Liu M.,1
Li Y.,Zhang Z.,1
Liu M.,Zhang Z.,1
Liu M.,Zhao Y.,1
Zhang Z.,Zhao Y.,1
Li Y.,Liu J.,1
Li Y.,Wang N.,1
Chen J.,Wu J.,1
Chen J.,Zhang C.,1
Wu J.,Zhang C.,1
Li Y.,Yang X.,1
Liu Y.,Xu C.,1
Wang H.,Zhang Y.,1
Wu Z.,Zhang Y.,1
Chen X.,Yang Y.,1
Wang Z.,Zhang C.,1
Li J.,Wang N.,1
Li J.,Li X.,1
Zhang C.,Zhang S.,1
Xu J.,Zhang S.,1
Xu J.,Zhang C.,1
Wang Z.,Zhang S.,1
Wang Z.,Xu J.,1
Li X.,Wang X.,1
Wang J.,Zhang C.,1
Liu Z.,Zhang S.,1
Liu Z.,Zhang C.,1
Liu Z.,Xu J.,1
Liu Z.,Wang Z.,1
Liu Z.,Wang J.,1
Li X.,Wang N.,1
Zhang C.,Zhao Y.,1
Huang Y.,Li H.,1
Huang Y.,Zhang H.,1
Li H.,Zhang H.,1
Liu J.,Yang J.,1
Wang N.,Yang J.,1
Liu S.,Wang Y.,1
Kumar A.,Kumar S.,1
Huang Y.,Wang H.,1
Li W.,Li Y.,1
Li W.,Yang Y.,1
Chen J.,Li Y.,1
Chen Y.,Liu C.,1
Chen Y.,Xu C.,1
Liu C.,Xu C.,1
Chen X.,Wang H.,1
Li Z.,Zhang C.,1
Li Z.,Xu J.,1
Li Z.,Wang Z.,1
Li S.,Zhang C.,1
Li H.,Zhang J.,1
Chen Y.,Xu J.,1
Liu Y.,Zhang H.,1
Li Z.,Wang L.,1
Li Z.,Yang X.,1
Li Z.,Zhang H.,1
Wang L.,Yang X.,1
Yang X.,Zhang H.,1
Liu Z.,Wang X.,1
Wang L.,Wang X.,1
Wang L.,Zhang X.,1
Wang X.,Zhang X.,1
Li S.,Wang C.,1
Li S.,Wang H.,1
Li Y.,Wang J.,1
"Liu, J","Zhang, Y",1
Huang Y.,Wang Y.,1
Li S.,Yang Y.,1
Li J.,Li Z.,1
Chen Y.,Wu J.,1
Wu J.,Zhang Y.,1
Chen Y.,Li X.,1
Chen Y.,Wang L.,1
Chen Y.,Zhang L.,1
Li X.,Wang L.,1
Li X.,Zhang L.,1
Wang L.,Zhang L.,1
Li X.,Li Z.,1
Li X.,Xu J.,1
Li X.,Zhang C.,1
Liu J.,Yang X.,1
