doc_id,label,year,local_citations,global_citations
300,Bediroglu S. (2025),2025,0,1
302,Bukhari S.M.S. (2025),2025,0,4
303,Ansari F. (2025),2025,0,3
304,Derman M.T. (2025),2025,0,0
305,Kumar P.A. (2025),2025,0,0
308,Li Z. (2025),2025,1,4
309,Huang Y. (2025),2025,0,1
310,Khan T. (2025),2025,0,19
311,Liao Y. (2025),2025,0,11
314,Broquet M. (2025),2025,0,2
316,Liang R. (2025),2025,0,9
317,Kuhaneswaran B. (2025),2025,0,7
318,Ramachandran A. (2025),2025,0,0
319,Ho Y.-H. (2025),2025,0,2
320,Vaits E.V. (2025),2025,0,0
321,Singh M.K. (2025),2025,0,0
323,Sonang S. (2025),2025,0,0
328,Lyu H. (2025),2025,0,1
329,Davidich Y. (2025),2025,0,5
332,Karimiziarani M. (2025),2025,0,5
335,Yuan X.-X. (2025),2025,0,0
337,Xu Z. (2025),2025,0,9
338,Gulnerman A.G. (2025),2025,0,1
342,Halder K. (2025),2025,3,24
344,Zhang Y. (2025),2025,0,0
347,Eftekhari A. (2025),2025,0,0
351,Soomro S.-E.-E. (2025),2025,0,1
361,Tang F. (2025),2025,0,2
363,Hatic D. (2025),2025,0,1
364,Dubey V. (2025),2025,0,3
365,Dey S. (2025),2025,0,2
366,Sharma V.K. (2025),2025,1,6
367,Xu M. (2025),2025,0,0
369,Al Mehedi Md.A. (2025),2025,0,2
372,Yang S. (2025),2025,0,3
373,Chen J. (2025),2025,0,0
374,Thirukrishna J.T. (2025),2025,1,4
375,Tsumita N. (2025),2025,0,18
376,Li Y. (2025),2025,0,9
377,Liu M. (2025),2025,0,1
378,Ha H. (2025),2025,0,2
379,Yakin S. (2025),2025,0,0
382,Pande P. (2025),2025,0,2
383,Hanwacker L.S. (2025),2025,0,3
384,Dar S.S. (2025),2025,0,4
388,Tavakol Sadrabadi M. (2025),2025,0,10
390,Cui Y. (2025),2025,0,1
392,Mulabbi A. (2025),2025,0,1
393,Zhao X. (2025),2025,0,0
394,Li L. (2025),2025,0,2
395,Yardimci-Coskun I. (2025),2025,0,0
396,Zhang X. (2025),2025,0,0
399,Behrooz H. (2025),2025,0,0
401,Alabdan R. (2025),2025,0,3
402,Kaya A.Y. (2025),2025,0,0
405,Wang C. (2025),2025,1,5
407,S G. (2025),2025,0,2
408,Khandare S.B. (2025),2025,0,0
410,Ariyaei A. (2025),2025,0,1
412,Huang H. (2025),2025,1,3
415,Miao J. (2025),2025,0,0
417,Rasouli Panah H. (2025),2025,0,2
418,Dahdal S. (2025),2025,0,1
419,Chen H. (2025),2025,5,24
423,Gerolimos N. (2025),2025,1,11
424,Ikram R.M.A. (2025),2025,0,5
426,Xie C. (2025),2025,1,14
428,Chowdhury A. (2025),2025,0,2
432,Nava L. (2025),2025,0,2
433,Hafner S. (2025),2025,0,2
436,Ado M. (2025),2025,0,5
438,Ahmed I.A. (2025),2025,0,2
439,Uddin K. (2025),2025,0,3
441,Khankeshizadeh E. (2025),2025,1,10
447,Ren X. (2025),2025,1,5
448,Xiao Y. (2025),2025,1,2
451,Khallouli W. (2025),2025,0,2
452,Lagap U. (2025),2025,0,3
453,Chen X. (2025),2025,0,3
454,Belfeki Z. (2025),2025,0,2
455,Gupta T. (2025),2025,0,2
459,Yang Y. (2025),2025,0,1
463,Miiro E. (2025),2025,0,2
464,Ding J. (2025),2025,0,3
465,Sathees Babu S. (2025),2025,0,2
466,Fawakherji M. (2025),2025,2,20
467,Cratere A. (2025),2025,0,1
468,Thies B. (2025),2025,0,11
471,Ferchichi A. (2025),2025,0,7
474,Ravi M. (2025),2025,0,0
476,Kijewski-Correa T. (2025),2025,0,6
477,Luo W. (2025),2025,1,33
478,Aljedani N. (2025),2025,0,0
480,Du H.-G. (2025),2025,0,2
482,Suh Y. (2025),2025,0,2
483,Ivanov M.L. (2025),2025,0,1
486,Wang K. (2025),2025,0,2
487,Saleh T. (2025),2025,0,1
488,Vega J. (2025),2025,0,7
489,Abdo H.G. (2025),2025,0,3
492,Zheng Z. (2025),2025,0,0
493,Gupta H.S. (2025),2025,0,3
496,Choi H. (2025),2025,0,0
499,Polushko V. (2025),2025,0,0
504,Upadhyay J.L. (2025),2025,0,0
507,Ajaj Y.S. (2025),2025,1,3
508,Peng H. (2025),2025,0,3
509,Han D. (2025),2025,0,4
511,Chen J. (2025),2025,0,0
512,Dixit A. (2025),2025,0,2
514,Meena S.R. (2025),2025,0,12
516,Li Y. (2025),2025,0,2
517,Zheng C. (2025),2025,0,0
520,Sinha A. (2025),2025,0,0
521,Bhardwaj D. (2025),2025,2,21
523,Wang Z. (2025),2025,0,7
526,Magdum V.B. (2025),2025,0,0
528,Roohi M. (2025),2025,2,20
529,Suma K.G. (2025),2025,0,0
536,He Y. (2025),2025,0,6
539,P L. (2025),2025,0,22
540,Huang J. (2025),2025,0,5
543,Arias Velasquez R.M. (2025),2025,0,0
544,Krichen M. (2025),2025,0,0
545,Tang X. (2025),2025,0,4
548,Moussa M. (2025),2025,0,1
552,Miller B. (2025),2025,0,0
555,Raju V.P. (2025),2025,0,0
560,Mi Y. (2025),2025,2,4
562,Annunziata D. (2025),2025,0,1
563,Haggag M. (2025),2025,0,1
564,Zeng J. (2025),2025,0,1
565,Sangeeta (2025),2025,0,0
567,Lamichhane S. (2025),2025,1,9
572,Priyadharshini P. (2025),2025,0,2
575,Id Hadiana A. (2025),2025,0,0
576,Puime Pedra M. (2025),2025,0,2
577,Jiang S. (2025),2025,0,4
580,Aboosh O.Sh.A. (2025),2025,0,3
581,Lakshay (2025),2025,0,0
586,Polepally V. (2025),2025,0,0
