ref_a,ref_b,weight
ji|landsdetecfromopen|2020,zhao|pyramsceneparsinetwo|2017,13
(2018)||2018,(2019)||2019,12
badrinarayanan|segnedeepconvoencod|2017,chen|encoddecodwithatrou|2018,12
deng|imagelargescalehiera|2009,tan|efficrethimodelscali|2019,12
(2020)||2020,breiman|randofores|2001,12
deng|imagelargescalehiera|2009,gupta|xbddatasforasses|2019,12
dong|comprrevieearthinduc|2013,ronneberger|netconvonetwofor|2015,12
ji|landsdetecfromopen|2020,woo|cbamconvoblockatten|2018,12
breiman|randofores|2001,ghorbanzadeh|evaludiffemachilearn|2019,12
dong|comprrevieearthinduc|2013,krizhevsky|imageclasswithdeep|2012,12
ronneberger|netconvonetwofor|2015,tan|efficrethimodelscali|2019,12
(2019)||2019,(2020)||2020,11
lecun|deeplearn|2015,ronneberger|netconvonetwofor|2015,11
hochreiter|longshorttermmemor|1997,vaswani|attenallyouneed|2017,11
chen|encoddecodwithatrou|2018,rahnemoonfar|floodhighresolaeria|2021,11
krizhevsky|imageclasswithdeep|2012,ronneberger|netconvonetwofor|2015,11
ronneberger|netconvonetwofor|2015,szegedy|goingdeepewithconvo|2015,11
mohan|revieremotsensimetho|2021,ronneberger|netconvonetwofor|2015,11
badrinarayanan|segnedeepconvoencod|2017,zhao|pyramsceneparsinetwo|2017,11
gupta|creatxbddatasfor|2019,rahnemoonfar|floodhighresolaeria|2021,11
krizhevsky|imageclasswithdeep|2012,long|fullyconvonetwofor|2015,11
cooner|detecurbandamagusing|2016,dong|comprrevieearthinduc|2013,11
dong|comprrevieearthinduc|2013,gupta|xbddatasforasses|2019,11
breiman|randofores|2001,guzzetti|landsinvenmapsnew|2012,11
he|deepresidlearnfor|2016,mohan|revieremotsensimetho|2021,11
simonyan|verydeepconvonetwo|2014,tan|efficrethimodelscali|2019,11
ji|landsdetecfromopen|2020,long|fullyconvonetwofor|2015,10
imran|aidrartifintelfor|2014,nguyen|damagassesfromsocia|2017,10
guzzetti|landsinvenmapsnew|2012,ronneberger|netconvonetwofor|2015,10
breiman|randofores|2001,huang|revielandssuscemappi|2018,10
froude|globafatallandsoccur|2018,merghadi|machilearnmethofor|2020,10
hochreiter|longshorttermmemor|1997,kingma|adammethoforstoch|2014,10
deng|imagelargescalehiera|2009,krizhevsky|imageclasswithdeep|2012,10
rahnemoonfar|floodhighresolaeria|2021,tan|efficrethimodelscali|2019,10
deng|imagelargescalehiera|2009,kingma|adammethoforstoch|2014,10
linardos|machilearndisasmanag|2022,yu|bigdatanaturdisas|2018,10
nguyen|damagassesfromsocia|2017,simonyan|verydeepconvonetwo|2014,9
(2018)||2018,(2020)||2020,9
cooner|detecurbandamagusing|2016,gupta|xbddatasforasses|2019,9
badrinarayanan|segnedeepconvoencod|2017,simonyan|verydeepconvonetwo|2014,9
he|deepresidlearnfor|2016,imran|aidrartifintelfor|2014,9
lecun|deeplearn|2015,vaswani|attenallyouneed|2017,9
chen|xgbooscalatreeboost|2016,cortes|suppovectonetwo|1995,9
froude|globafatallandsoccur|2018,mohan|revieremotsensimetho|2021,9
froude|globafatallandsoccur|2018,ghorbanzadeh|evaludiffemachilearn|2019,9
krizhevsky|imageclasswithdeep|2017,simonyan|verydeepconvonetwo|2014,9
dong|comprrevieearthinduc|2013,he|deepresidlearnfor|2016,9
guzzetti|landsinvenmapsnew|2012,mohan|revieremotsensimetho|2021,9
he|deepresidlearnfor|2016,hochreiter|longshorttermmemor|1997,9
(2020)||2020,(2023)||2023,9
sun|appliartifintelfor|2020,yu|bigdatanaturdisas|2018,9
vaswani|attenallyouneed|2017,zhao|pyramsceneparsinetwo|2017,8
woo|cbamconvoblockatten|2018,zhao|pyramsceneparsinetwo|2017,8
guzzetti|landsinvenmapsnew|2012,he|deepresidlearnfor|2016,8
rahnemoonfar|floodhighresolaeria|2021,zhao|pyramsceneparsinetwo|2017,8
vaswani|attenallyouneed|2017,woo|cbamconvoblockatten|2018,8
breiman|randofores|2001,lecun|deeplearn|2015,8
goodfellow|deeplearn|2016,he|deepresidlearnfor|2016,8
long|fullyconvonetwofor|2015,vaswani|attenallyouneed|2017,8
